,Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Direction Notes,ADA NB,ADA SB,Capital Outage NB,Capital Outage SB
65,66,66,B19,BMT,West End,18 AV,Bk,D,Elevated,40.607954,-74.001736,Manhattan,Coney Island,0,,,,,
321,321,321,131,IRT,Broadway - 7Av,18 ST,M,1,Subway,40.74104,-73.997871,Uptown & The Bronx,Downtown,0,,,,,
301,301,301,111,IRT,Broadway - 7Av,181 ST,M,1,Subway,40.849505,-73.933596,Uptown & The Bronx,Downtown,0,,,,,
144,146,146,A06,IND,8th Av - Fulton St,181 ST,M,A,Subway,40.851695,-73.937969,207 St,Downtown & Brooklyn,0,,,,,
214,214,214,D06,IND,Concourse,182-183 STS,Bx,B D,Subway,40.856093,-73.900741,Bedford Pk Blvd & 205 St,Manhattan,0,,,,,
383,383,383,408,IRT,Jerome Av,183 ST,Bx,4,Elevated,40.858407,-73.903879,Woodlawn,Manhattan,0,,,,,
143,145,145,A05,IND,8th Av - Fulton St,190 ST,M,A,Subway,40.859022,-73.93418,207 St,Downtown & Brooklyn,0,,,,,
300,300,300,110,IRT,Broadway - 7Av,191 ST,M,1,Subway,40.855225,-73.929412,Uptown & The Bronx,Downtown,0,,,,,
232,232,232,F14,IND,6th Av - Culver,2 AV,M,F,Subway,40.723402,-73.989938,Uptown & Queens,Downtown & Brooklyn,0,,,,,
66,67,67,B20,BMT,West End,20 AV,Bk,D,Elevated,40.604556,-73.998168,Manhattan,Coney Island,0,,,,,
74,75,75,N06,BMT,Sea Beach,20 AV,Bk,N,Open Cut,40.61741,-73.985026,Manhattan,Coney Island,0,,,,,
298,298,298,108,IRT,Broadway - 7Av,207 ST,M,1,Elevated,40.864621,-73.918822,Uptown & The Bronx,Downtown,0,,,,,
282,282,282,G24,IND,Crosstown,21 ST,Q,G,Subway,40.744065,-73.949724,Court Sq,Brooklyn,0,,,,,
221,221,221,B04,IND,63rd St,21 ST-QUEENSBRIDGE,Q,F,Subway,40.754203,-73.942836,Jamaica,Manhattan,1,,,,,
297,297,297,107,IRT,Broadway - 7Av,215 ST,M,1,Elevated,40.869444,-73.915279,The Bronx,Downtown,0,,,,,
420,420,420,207,IRT,Lenox - White Plains Rd,219 ST,Bx,2 5,Elevated,40.883895,-73.862633,Wakefield - 241 St,Manhattan,0,,,,,
419,419,419,206,IRT,Lenox - White Plains Rd,225 ST,Bx,2 5,Elevated,40.888022,-73.860341,Wakefield - 241 St,Manhattan,0,,,,,
13,14,14,R19,BMT,Broadway - Brighton,23 ST,M,R W,Subway,40.741303,-73.989344,Uptown & Queens,Downtown & Brooklyn,0,,,,,
