,STATION,UNIT
365,LEXINGTON AV/63,R319
366,LIBERTY AV,R440
367,LIVONIA AV,R350
368,LONGWOOD AV,R450
369,LORIMER ST,R353
370,LORIMER ST,R268
371,MARBLE HILL-225,R039
372,MARCY AV,R460
373,METROPOLITAN AV,R100
374,METROPOLITAN AV,R268
375,METS-WILLETS PT,R328
376,MIDDLETOWN RD,R427
377,MONTROSE AV,R265
378,MORGAN AV,R294
379,MORISN AV/SNDVW,R120
380,MORRIS PARK,R329
381,MOSHOLU PKWY,R133
382,MT EDEN AV,R308
383,MYRTLE AV,R378
384,MYRTLE-WILLOUGH,R286
385,MYRTLE-WYCKOFF,R137
386,NASSAU AV,R256
387,NECK RD,R230
388,NEPTUNE AV,R426
389,NEREID AV,R444
390,NEVINS ST,R056
391,NEW LOTS,R375
392,NEW LOTS AV,R069
393,NEW UTRECHT AV,R398
394,NEWARK BM BW,R549
395,NEWARK C,R549
396,NEWARK HM HE,R549
397,NEWARK HW BMEBE,R549
398,NEWKIRK AV,R135
399,NEWKIRK PLAZA,R149
400,NORTHERN BLVD,R298
401,NORWOOD 205 ST,R157
402,NORWOOD AV,R436
403,NOSTRAND AV,R198
404,NOSTRAND AV,R061
405,OCEAN PKWY,R264
406,OZONE PK LEFFRT,R356
407,PARK PLACE,R411
408,PARK PLACE,R029
409,PARKCHESTER,R222
410,PARKSIDE AV,R148
411,PARSONS BLVD,R114
412,PATH NEW WTC,R540
413,PATH WTC 2,R540
414,PAVONIA/NEWPORT,R546
415,PELHAM BAY PARK,R429
416,PELHAM PKWY,R430
417,PELHAM PKWY,R361
418,PENNSYLVANIA AV,R067
419,PRESIDENT ST,R277
420,PRINCE ST,R086
421,PROSPECT AV,R406
422,PROSPECT AV,R246
423,PROSPECT PARK,R196
424,QUEENS PLAZA,R140
425,QUEENSBORO PLZ,R121
426,RALPH AV,R438
427,RECTOR ST,R304
428,RECTOR ST,R227
429,RIT-MANHATTAN,R468
430,RIT-ROOSEVELT,R469
431,ROCKAWAY AV,R065
432,ROCKAWAY AV,R439
433,ROCKAWAY BLVD,R385
434,ROCKAWAY PARK B,R419
435,ROOSEVELT ISLND,R259
436,SARATOGA AV,R064
437,SENECA AVE,R402
438,SHEEPSHEAD BAY,R136
439,SHEPHERD AV,R442
440,SIMPSON ST,R408
441,SMITH-9 ST,R270
442,SOUTH FERRY,R001
443,SPRING ST,R322
444,SPRING ST,R282
445,ST LAWRENCE AV,R245
446,ST. GEORGE,R070
447,STEINWAY ST,R238
448,STERLING ST,R209
449,SUTPHIN BLVD,R128
450,SUTPHIN-ARCHER,R024
451,SUTTER AV,R349
452,SUTTER AV-RUTLD,R063
453,THIRTY ST,R541
454,THIRTY THIRD ST,R541
455,TIMES SQ-42 ST,R032
456,TIMES SQ-42 ST,R033
457,TOMPKINSVILLE,R165
458,TREMONT AV,R154
459,TWENTY THIRD ST,R542
460,UNION ST,R231
461,UTICA AV,R153
462,V.CORTLANDT PK,R117
463,VAN SICLEN AV,R434
464,VAN SICLEN AV,R068
465,VAN SICLEN AVE,R441
466,VERNON-JACKSON,R276
467,W 4 ST-WASH SQ,R138
468,W 8 ST-AQUARIUM,R312
469,WAKEFIELD/241,R145
470,WALL ST,R027
471,WALL ST,R043
472,WEST FARMS SQ,R387
473,WESTCHESTER SQ,R107
474,WHITEHALL S-FRY,R001
475,WHITLOCK AV,R325
476,WILSON AV,R295
477,WINTHROP ST,R451
478,WOODHAVEN BLVD,R006
479,WOODHAVEN BLVD,R201
480,WOODLAWN,R052
481,WORLD TRADE CTR,R029
482,WTC-CORTLANDT,R305
483,YORK ST,R301
484,ZEREGA AV,R326
