Employment_est,GEO_ID,NAME
2843,1400000US36005032400,"Census Tract 324, Bronx County, New York"
3151,1400000US36005032600,"Census Tract 326, Bronx County, New York"
2913,1400000US36005032800,"Census Tract 328, Bronx County, New York"
4078,1400000US36005033000,"Census Tract 330, Bronx County, New York"
4187,1400000US36005033201,"Census Tract 332.01, Bronx County, New York"
3287,1400000US36005033202,"Census Tract 332.02, Bronx County, New York"
13,1400000US36005033400,"Census Tract 334, Bronx County, New York"
1723,1400000US36005033500,"Census Tract 335, Bronx County, New York"
3979,1400000US36005033601,"Census Tract 336.01, Bronx County, New York"
1231,1400000US36005033602,"Census Tract 336.02, Bronx County, New York"
2080,1400000US36005033700,"Census Tract 337, Bronx County, New York"
1563,1400000US36005033801,"Census Tract 338.01, Bronx County, New York"
1251,1400000US36005033802,"Census Tract 338.02, Bronx County, New York"
4112,1400000US36005034000,"Census Tract 340, Bronx County, New York"
1355,1400000US36005034200,"Census Tract 342, Bronx County, New York"
1303,1400000US36005034300,"Census Tract 343, Bronx County, New York"
1647,1400000US36005034400,"Census Tract 344, Bronx County, New York"
2724,1400000US36005034500,"Census Tract 345, Bronx County, New York"
4487,1400000US36005034800,"Census Tract 348, Bronx County, New York"
1728,1400000US36005035000,"Census Tract 350, Bronx County, New York"
3248,1400000US36005035100,"Census Tract 351, Bronx County, New York"
1892,1400000US36005035600,"Census Tract 356, Bronx County, New York"
7553,1400000US36005035800,"Census Tract 358, Bronx County, New York"
1487,1400000US36005035900,"Census Tract 359, Bronx County, New York"
2629,1400000US36005036000,"Census Tract 360, Bronx County, New York"
4243,1400000US36005036100,"Census Tract 361, Bronx County, New York"
5183,1400000US36005036300,"Census Tract 363, Bronx County, New York"
2192,1400000US36005036400,"Census Tract 364, Bronx County, New York"
3046,1400000US36005036501,"Census Tract 365.01, Bronx County, New York"
1867,1400000US36005036502,"Census Tract 365.02, Bronx County, New York"
1572,1400000US36005036700,"Census Tract 367, Bronx County, New York"
1757,1400000US36005036800,"Census Tract 368, Bronx County, New York"
1464,1400000US36005036901,"Census Tract 369.01, Bronx County, New York"
1484,1400000US36005036902,"Census Tract 369.02, Bronx County, New York"
1956,1400000US36005037000,"Census Tract 370, Bronx County, New York"
3442,1400000US36005037100,"Census Tract 371, Bronx County, New York"
1700,1400000US36005037200,"Census Tract 372, Bronx County, New York"
4053,1400000US36005037300,"Census Tract 373, Bronx County, New York"
2872,1400000US36005037400,"Census Tract 374, Bronx County, New York"
2388,1400000US36005037504,"Census Tract 375.04, Bronx County, New York"
1875,1400000US36005037600,"Census Tract 376, Bronx County, New York"
2299,1400000US36005037800,"Census Tract 378, Bronx County, New York"
3647,1400000US36005037900,"Census Tract 379, Bronx County, New York"
3866,1400000US36005038000,"Census Tract 380, Bronx County, New York"
5721,1400000US36005038100,"Census Tract 381, Bronx County, New York"
2319,1400000US36005038200,"Census Tract 382, Bronx County, New York"
3972,1400000US36005038301,"Census Tract 383.01, Bronx County, New York"
2685,1400000US36005038303,"Census Tract 383.03, Bronx County, New York"
1690,1400000US36005038304,"Census Tract 383.04, Bronx County, New York"
2969,1400000US36005038500,"Census Tract 385, Bronx County, New York"
7028,1400000US36005038600,"Census Tract 386, Bronx County, New York"
2801,1400000US36005038700,"Census Tract 387, Bronx County, New York"
2192,1400000US36005038800,"Census Tract 388, Bronx County, New York"
4251,1400000US36005038900,"Census Tract 389, Bronx County, New York"
2353,1400000US36005039000,"Census Tract 390, Bronx County, New York"
5948,1400000US36005039100,"Census Tract 391, Bronx County, New York"
1272,1400000US36005039200,"Census Tract 392, Bronx County, New York"
5848,1400000US36005039300,"Census Tract 393, Bronx County, New York"
4143,1400000US36005039400,"Census Tract 394, Bronx County, New York"
3213,1400000US36005039500,"Census Tract 395, Bronx County, New York"
3337,1400000US36005039600,"Census Tract 396, Bronx County, New York"
3501,1400000US36005039700,"Census Tract 397, Bronx County, New York"
3206,1400000US36005039800,"Census Tract 398, Bronx County, New York"
4072,1400000US36005039901,"Census Tract 399.01, Bronx County, New York"
4175,1400000US36005039902,"Census Tract 399.02, Bronx County, New York"
3501,1400000US36005040100,"Census Tract 401, Bronx County, New York"
3637,1400000US36005040302,"Census Tract 403.02, Bronx County, New York"
3402,1400000US36005040303,"Census Tract 403.03, Bronx County, New York"
2269,1400000US36005040304,"Census Tract 403.04, Bronx County, New York"
2792,1400000US36005040400,"Census Tract 404, Bronx County, New York"
3145,1400000US36005040501,"Census Tract 405.01, Bronx County, New York"
5385,1400000US36005040502,"Census Tract 405.02, Bronx County, New York"
2845,1400000US36005040600,"Census Tract 406, Bronx County, New York"
2486,1400000US36005040701,"Census Tract 407.01, Bronx County, New York"
5283,1400000US36005040702,"Census Tract 407.02, Bronx County, New York"
3770,1400000US36005040800,"Census Tract 408, Bronx County, New York"
2550,1400000US36005040900,"Census Tract 409, Bronx County, New York"
2806,1400000US36005041100,"Census Tract 411, Bronx County, New York"
6889,1400000US36005041300,"Census Tract 413, Bronx County, New York"
4530,1400000US36005041400,"Census Tract 414, Bronx County, New York"
4769,1400000US36005041500,"Census Tract 415, Bronx County, New York"
2847,1400000US36005041800,"Census Tract 418, Bronx County, New York"
4993,1400000US36005041900,"Census Tract 419, Bronx County, New York"
3480,1400000US36005042000,"Census Tract 420, Bronx County, New York"
4082,1400000US36005042100,"Census Tract 421, Bronx County, New York"
2372,1400000US36005042200,"Census Tract 422, Bronx County, New York"
2985,1400000US36005042300,"Census Tract 423, Bronx County, New York"
1974,1400000US36005042400,"Census Tract 424, Bronx County, New York"
4841,1400000US36005042500,"Census Tract 425, Bronx County, New York"
6290,1400000US36005042600,"Census Tract 426, Bronx County, New York"
1607,1400000US36005042800,"Census Tract 428, Bronx County, New York"
2511,1400000US36005042901,"Census Tract 429.01, Bronx County, New York"
2988,1400000US36005042902,"Census Tract 429.02, Bronx County, New York"
2733,1400000US36005043000,"Census Tract 430, Bronx County, New York"
4620,1400000US36005043101,"Census Tract 431.01, Bronx County, New York"
3639,1400000US36005043102,"Census Tract 431.02, Bronx County, New York"
3315,1400000US36005043400,"Census Tract 434, Bronx County, New York"
