,closeness_centrality
D09,0.016711356490415094
D09-B-S,0.01805911563824382
D09-D-S,0.017231561618409885
D10,0.017137628039713956
D10-B-S,0.018556220370985647
D10-D-S,0.017734353740234635
D11-B-S,0.01918268060463959
D11-D-S,0.018370445507149
D12,0.01814206018582035
D12-B-S,0.0197349765718063
D12-D-S,0.018904459321764103
D13-B-S,0.020157043367273385
D13-D-S,0.019327053977090745
D14,0.024120176841527036
D14-B-S,0.025252318562578913
D14-D-S,0.024640783621248122
D14-E-S,0.025349379037586984
D15,0.02519853671952689
D15-B-S,0.025479282484108468
D15-D-S,0.02484993633149086
D15-F-S,0.026124477248613977
D15-M-S,0.025160115881792185
D16-B-S,0.025641158181022333
D16-D-S,0.025014990537302946
D16-F-S,0.026297717240212688
D16-M-S,0.025424242559258767
D17-B-S,0.025768226362575405
D17-D-S,0.025150407688605183
D17-F-S,0.026502621134565085
D17-M-S,0.02571368061244221
D18,0.024081821969116932
D18-F-S,0.026651414653530367
D18-M-S,0.025832989442114037
D19-F-S,0.026864757533080225
D19-M-S,0.026045485786891795
D20-B-S,0.025956149524984387
D20-D-S,0.02531872815884776
D20-F-S,0.026722835741855893
D20-M-S,0.02592057066118267
D21-B-S,0.025834910386181343
D21-D-S,0.025200389795482458
D21-F-S,0.026529029003653306
D21-M-S,0.025668302019202217
D22,0.022719107571078322
D22-B-S,0.025209411425545464
D22-D-S,0.024514965430529043
D24-B-S,0.023317815733774505
D24-Q-S,0.023424717062457093
D25,0.02118766757075308
D25-B-S,0.022548818563120986
D25-Q-S,0.022599144248059467
D26-B-S,0.02147156078304529
D26-Q-S,0.02132263592722609
D27,0.01964533087003823
D27-B-S,0.020979527235020775
D27-Q-S,0.020807413720756097
D28,0.019332828025508654
D28-B-S,0.020641622887999016
D28-Q-S,0.020451187034299635
D29,0.01893661107349489
D29-B-S,0.020222173420094264
D29-Q-S,0.02003096082474658
D30,0.018775490995418486
D30-B-S,0.02004966301015646
D30-Q-S,0.01986625683373454
D31,0.018554668797265403
D31-B-S,0.019817113696024152
D31-Q-S,0.0196398984310493
D32,0.01948645038466813
D32-B-S,0.01960615525385961
D32-Q-S,0.01942075705966689
D32-IBX-S,0.01915014747520965
D33,0.018050948041881853
D33-B-S,0.01925606204555089
D33-Q-S,0.019064654228959504
D34,0.017543268316725445
D34-B-S,0.018671563771067635
D34-Q-S,0.018473446220441437
D35,0.01697190874308858
D35-B-S,0.018015851719139553
D35-Q-S,0.017812477173702122
D37,0.016419477109536014
D37-B-S,0.017381703345312055
D37-Q-S,0.017178959112221694
D38,0.01619888236678992
D38-B-S,0.017122039768397067
D38-Q-S,0.01693431818379305
D39,0.015794535179555775
D39-B-S,0.01661599843325045
D39-Q-S,0.01648266155246949
D40,0.015318923723950648
D40-B-S,0.01601652043065438
D40-Q-S,0.01595346317684494
D41,0.014580553114631122
D41-Q-S,0.015690930587849455
D42,0.014932656878849187
D42-F-S,0.015686022359111033
D42-Q-S,0.015473576906553082
D43,0.014922162561406738
D43-D-S,0.014707444877325225
D43-F-S,0.015493363353904808
D43-N-S,0.014591323379182302
D43-Q-S,0.015232660395687218
